Name,Price,Manufacturer,Category,Stock Availability,Scale,Type,Brand,Series,Review
HGUC 019 Char's Z'Gok,9.99,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.3
HGGTO 003 MS-06R-1A Zaku II High Mobility Type Gaia/mash,25,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGUC 148 MSN-001X Gundam Delta Kai,32,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,3.0
HGBF 017 Wing Gundam Fenice Rinascita,21,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGUC 089 MS-18E Kampfer,23,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGUC 054 NRX-044 Asshimar,25,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HG00 003 GN-002 Gundam Dynames,15,Bandai,Model Kit,In stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam 00,4.0
HGGTO 004 YMS-07B-0 Prototype Gouf,23,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.9
HGBF 033 Wing Gundam Zero Honoo,23,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.5
HGUC 155 RX-90[G]Ez-8 Gundam Ez8,21,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.3
HGUC 159 Gerbera-Tetra,23,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGBD:R 008 Core Gundam (Real Type Color) & Marsfour Unit,17,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGIBO 015 Gundam Barbatos 6th Form,17,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGGTO 022 RGM-79HC GM Guard Custom,23,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,3.0
HGGT MS-06R High Mobility Type Zaku II Psycho Zaku (Gundam Thunderbolt Ver.),33,Bandai,Model Kit,In stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Thunderbolt,4.0
HGUC 217 Sinanju Stein (Narrative Ver.),32,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.5
HGUC Xi Gundam VS Penelope Funnel Missile Effect Set,188,Bandai,Model Kit,In stock,1/144,HG - High Grade,Mobile Suit Gundam,Gundam Hathaway,5.0
HGBC 023 Giant Gatling,9.99,Bandai,Model Kit,In stock,1/144,HG - High Grade,Mobile Suit Gundam,None,5.0
HGUC 064 MS-05B Zaku I,13,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGUC 139 Juaggu (Unicorn Ver.),22,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.5
